Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.16723255515847055,-1.675098714834447,0.2822339907104635,0,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.1516586762204113,-1.1102983642690187,-0.026718065628873515,0,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.17123330985684396,-1.1101013920943728,-0.026339495863227654,0,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.1715108920516159,-1.110114125482009,-0.02633229285221865,0,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.33620993269689714,1.0230260400178703,-0.6067317493802659,3,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.3242322897246728,1.0958210941505064,-0.20604234087777204,3,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.5767891478552636,-1.1058650816378706,-0.06272488610759476,0,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.39017008943490766,1.2587813848541205,-0.5097735012733976,3,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.14638233272808912,-1.3717682973611973,0.2323083096758085,0,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.1688000567408096,-1.110145853711252,-0.02638419407616428,0,KrugerCoin
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.17215409368897905,-1.1101019455459167,-0.026320527867519504,0,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.1725089706738211,-1.110102608993542,-0.026313164270965146,0,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.4307499175272906,2.1249445619804583,-0.7118536584887896,3,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.17176809726345915,-1.1101024680085392,-0.026328390182053598,0,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.04276489079399527,-2.6441351870478744,0.5010131636585562,0,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.03210474245352495,0.8696640869684618,-0.3090240231297181,3,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.17239022809425641,-1.1101041354581676,-0.026315421548123195,0,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.2755395668547859,0.7610881382976732,-0.34878725244606557,3,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.29204418922783365,0.8592541868450031,-0.3024577402277781,3,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.26807552901928394,1.7067294645893167,-0.6120431556692218,3,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.03731118663965532,-1.1155774044065567,-0.028441712263953513,0,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.14645997772656585,-1.3717714033349988,0.23231027063756843,0,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.16605298270631177,-1.1100879024139798,-0.02644743577614886,0,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.26869799845822484,1.7067045644179255,-0.6120274349043245,3,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.3377173255824978,0.45808572485003096,-0.29805192308845335,3,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.3324533464668342,1.022958632097455,-0.6068009027157488,3,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.3365529322722074,1.0230282824507804,-0.6067249729718522,3,PhoenixCoin
